Well_ID,X(ft),Y(ft),Completion,Elevation Kelly Bushing (ft),WOPR (bpd),Np (bls)
Well_0,137106.82,83818.47,Upper,193.32,8.809168145,14473.50351
Well_1,132460.98,85832.77,Upper,187.15,38.67564086,30591.81937
Well_2,133634,82144.52,Upper,164.55,5.276534505,13491.503
Well_3,140892.57,81747.12,Lower,179.92,1606.279426,2687578.527
Well_4,109951.43,89343.45,Lower,186.21,257.113535,258973.075
Well_5,123950.95,92227.31,Lower,172.8,13.72362181,32172.80676
Well_6,111035.32,88692.32,Lower,182.66,1033.318772,945414.2314
Well_7,112439.69,85560.85,Lower,181.09,5.925702694,2160.216465
Well_8,127369.74,91739.99,Upper,180.04,13.09547433,19931.58628
Well_9,115943.69,86730.44,Lower,178.25,6.434229017,8030.777266
Well_10,134042.86,82411.27,Upper,184.33,46.36310127,48077.96709
Well_11,115725.49,86866.6,Upper,192.03,0,0
Well_12,133136.98,93691.55,Lower,170.35,0.664631925,1759.350823
Well_13,119311.27,89234.02,Upper,190.28,22.3425835,54449.32649
Well_14,134837.26,83865.82,Lower,182.29,381.1946278,533816.9191
Well_15,109560.26,86833.62,Lower,184.45,3060.205978,1395743.831
Well_16,112898.58,91601.46,Lower,168.63,1221.216449,1634953.659
Well_17,112766.46,88549.74,Lower,181.35,1367.727037,541573.7719
Well_18,117798.78,90645.7,Upper,194.85,291.0863714,841543.3792
Well_19,110189.22,86209.71,Upper,169.2,7.082097499,10779.00336
Well_20,133687.47,83554.44,Upper,160.22,39.54598554,26534.93032
Well_21,121120.49,87804.64,Upper,162.57,1.579448255,1828.953809
Well_22,115987.29,91854.91,Upper,182.66,13.15951626,10422.46412
Well_23,139326.01,84776.42,Upper,203.85,6.300323704,15145.83419
Well_24,142095.82,86042.02,Lower,191.24,90.3742825,148635.6373
Well_25,128136.21,89359.95,Lower,196.73,1328.452893,567246.2269
Well_26,118170.11,89488.69,Lower,180.99,439.3363422,548437.3921
Well_27,129829.39,87756.99,Upper,193.98,9.066929788,14352.94726
Well_28,120522.78,89987,Upper,177.29,131.2352546,303404.4745
Well_29,138541.42,82281.79,Lower,186.13,859.5404205,862760.5484
Well_30,131123.52,84356.27,Upper,177.33,1.125125385,1713.545343
Well_31,136285.14,86479.95,Lower,174.51,460.6748425,308151.9557
Well_32,128675.17,89882.13,Lower,181.33,1618.477384,100345.5978
Well_33,123960.21,85279.28,Lower,175.24,0.225081889,294.3976041
Well_34,134053.71,84658.45,Lower,193.08,1475.869991,1167488.319
Well_35,122230.81,87539.37,Upper,181.95,2.201824111,673.7447233
Well_36,111749.78,91050.01,Lower,184,376.967843,390879.7803
Well_37,134902.25,82632.62,Lower,176.62,377.6215962,977024.1713
Well_38,116803.31,91177.75,Lower,192.56,932.0029251,1475628.132
Well_39,111890.88,91708.68,Upper,172.68,13.29023317,6073.684352
Well_40,126601.3,90679.21,Upper,186.6,49.51812375,3070.123673
Well_41,114333.01,91616.66,Lower,176.49,1056.826177,963794.2495
Well_42,136532.27,83571.51,Lower,170.61,1146.619302,1885817.758
Well_43,115684.27,89895.78,Lower,175.11,2175.493437,7089037.109
Well_44,118629.9,88703.87,Lower,171.95,444.7192127,731289.33
Well_45,129176.3,93171.14,Upper,177.87,0.142503065,221.3019908
Well_46,139046.81,84476.47,Lower,176.61,1249.728244,838445.7098
Well_47,137407.15,84099.13,Lower,183.12,1215.319622,1111940.972
Well_48,124094.8,90648.76,Lower,185.65,464.8824403,891174.6411
Well_49,123188.65,88556.29,Lower,178.53,351.2819158,577674.0751
