Well_ID,X(ft),Y(ft),Completion,Elevation Kelly Bushing (ft), MD (ft),Poro(v/v),Permeability (mD),RHOB(g/cm3),DTS(us/ft),DT(us/ft),PEF(B/E),RD(OHMM),RS(OHMM),ROP,DENC(g/cm3),NPHI(v/v),Zone
Well_0,137106.82,83818.47,Upper,193.32,4597.471739,-999,-999,2.700699583,75.05676078,51.23243765,6.12995678,-999,-999,10.71090544,0.074250729,-0.001900208,Upper
Well_0,137106.82,83818.47,Upper,193.32,4604.031739,0.08741324,-999,2.819380106,85.36958584,66.90528345,8.498440334,-999,-999,14.28862905,0.088288545,0.121538296,Upper
Well_0,137106.82,83818.47,Upper,193.32,4610.591739,-999,-999,2.798908923,124.1210426,73.45438246,9.761415645,-999,-999,18.42091602,0.051770366,0.248546331,Upper
Well_0,137106.82,83818.47,Upper,193.32,4617.151739,0.059590083,-999,2.575396222,114.5712423,71.77693814,5.796871538,-999,-999,12.59595287,0.070758441,0.142681284,Upper
Well_0,137106.82,83818.47,Upper,193.32,4623.711739,-999,-999,2.895991446,145.9217987,62.65607542,9.731257465,-999,-999,22.04319822,0.115700497,0.353600235,Upper
Well_0,137106.82,83818.47,Upper,193.32,4630.271739,0.082268803,-999,2.831982077,113.2336253,63.54389684,9.049933762,-999,-999,20.09462811,0.087544897,0.22634908,Upper
Well_0,137106.82,83818.47,Upper,193.32,4636.831739,-999,-999,2.774357395,113.5945563,66.92638148,8.342028114,-999,-999,18.84787704,0.063858327,0.133006795,Upper
Well_0,137106.82,83818.47,Upper,193.32,4643.391739,0.062988653,-999,2.727030985,121.9317552,71.35691867,7.064516211,-999,-999,7.033150275,0.083543023,0.188662244,Upper
Well_0,137106.82,83818.47,Upper,193.32,4649.951739,-999,-999,2.926971615,121.3181579,75.69919419,10.39447345,-999,-999,14.94996931,0.033502508,0.185004267,Upper
Well_0,137106.82,83818.47,Upper,193.32,4656.511739,0.067930868,-999,2.97407357,140.2747127,69.96327407,11.46975908,-999,-999,22.54695915,0.026794899,0.317625313,Upper
Well_0,137106.82,83818.47,Upper,193.32,4663.071739,-999,-999,2.496010439,124.8210733,68.04223263,6.754330862,-999,-999,16.85826394,0.055821281,0.205392839,Upper
Well_0,137106.82,83818.47,Upper,193.32,4669.631739,0.069750258,-999,2.819388064,85.36683143,66.90327002,8.498484201,-999,-999,14.2913375,0.088273126,0.121522977,Upper
Well_0,137106.82,83818.47,Upper,193.32,4676.191739,-999,-999,2.972286016,140.0457623,70.05107297,11.47586112,-999,-999,22.54539776,0.02612076,0.317560074,Upper
Well_0,137106.82,83818.47,Upper,193.32,4682.751739,0.030769405,-999,2.629905047,123.2702914,78.38252316,8.436280877,-999,-999,15.37632257,0.061666077,0.254527115,Upper
Well_0,137106.82,83818.47,Upper,193.32,4689.311739,-999,-999,2.552455367,127.4575117,88.93548624,6.933202763,-999,-999,14.07455265,0.081154364,0.282907876,Upper
Well_0,137106.82,83818.47,Upper,193.32,4695.871739,0.149297403,-999,2.355408399,140.8004204,84.14267745,5.442390443,-999,-999,10.60041739,0.084204877,0.194173578,Upper
Well_0,137106.82,83818.47,Upper,193.32,4702.431739,-999,-999,2.350175472,141.261755,84.4208113,5.417122857,-999,-999,10.58381471,0.084875904,0.197700865,Upper
